"Test ID","Module","Scenario","Device","Status","Start Time","End Time","Duration"
"MEA-004","MealGen","4. Toggle sorting by calories","RZCXC0TCRMN","Passed","2026-06-14T16:30:49.957Z","2026-06-14T16:30:58.352Z","8.39s"
"MEA-005","MealGen","5. Verify Recipe Detail Page tabs","RZCXC0TCRMN","Failed","2026-06-14T16:30:58.352Z","2026-06-14T16:30:58.878Z","0.53s"
"MEA-006","MealGen","6. Start cooking mode and log meal complete","RZCXC0TCRMN","Failed","2026-06-14T16:30:59.877Z","2026-06-14T16:31:05.460Z","5.58s"
"PRO-001","Profile","1. Register and login to reach Dashboard","RZCXC0TCRMN","Passed","2026-06-14T16:31:27.944Z","2026-06-14T16:31:28.534Z","0.59s"
"PRO-002","Profile","2. Navigate to User Profile screen","RZCXC0TCRMN","Failed","2026-06-14T16:31:28.534Z","2026-06-14T16:31:39.665Z","11.13s"
"PRO-003","Profile","3. Edit user profile details","RZCXC0TCRMN","Failed","2026-06-14T16:31:40.553Z","2026-06-14T16:32:02.531Z","21.98s"
"PRO-004","Profile","4. Toggle diet preferences","RZCXC0TCRMN","Passed","2026-06-14T16:32:03.500Z","2026-06-14T16:32:04.384Z","0.88s"
"PRO-005","Profile","5. Toggle allergy preferences","RZCXC0TCRMN","Passed","2026-06-14T16:32:04.384Z","2026-06-14T16:32:06.145Z","1.76s"
"PRO-006","Profile","6. Switch between saved and history tabs","RZCXC0TCRMN","Failed","2026-06-14T16:32:06.145Z","2026-06-14T16:32:08.745Z","2.60s"
"SHO-001","Shopping","1. Verify Dashboard landing","RZCXC0TCRMN","Passed","2026-06-14T16:32:31.172Z","2026-06-14T16:32:32.102Z","0.93s"
"SHO-002","Shopping","2. Navigate to Shopping List screen","RZCXC0TCRMN","Passed","2026-06-14T16:32:32.102Z","2026-06-14T16:32:34.779Z","2.68s"
"SHO-003","Shopping","3. Add custom item to shopping list","RZCXC0TCRMN","Failed","2026-06-14T16:32:34.779Z","2026-06-14T16:32:57.998Z","23.22s"
"SHO-004","Shopping","4. Toggle item as completed","RZCXC0TCRMN","Failed","2026-06-14T16:32:58.980Z","2026-06-14T16:33:14.308Z","15.33s"
"SHO-005","Shopping","5. Add item from Smart Picks tab","RZCXC0TCRMN","Failed","2026-06-14T16:33:15.315Z","2026-06-14T16:33:30.888Z","15.57s"
"SHO-006","Shopping","6. Clear completed items from shopping list","RZCXC0TCRMN","Passed","2026-06-14T16:33:31.857Z","2026-06-14T16:33:42.442Z","10.58s"
